0.0000000000e+00	1.1224620483e+00	5.6123102415e-01	-5.6123102415e-01	-1.1224620483e+00	-5.6123102415e-01	5.6123102415e-01	0.0000000000e+00	0.0000000000e+00	9.7208064862e-01	9.7208064862e-01	1.3746195546e-16	-9.7208064862e-01	-9.7208064862e-01	
-6.6113984389e-03	1.1167974767e+00	7.4536002375e-01	-7.3087557749e-01	-1.1171081213e+00	-5.2481056185e-01	5.1724815862e-01	8.8477741116e-03	-2.4856552241e-02	9.9690314767e-01	9.7907807893e-01	-1.5063825463e-02	-9.8532606940e-01	-9.5958255360e-01	
5.4165477780e-02	1.1452582264e+00	7.4715993679e-01	-6.9885296877e-01	-1.2020381841e+00	-5.5772704252e-01	5.1203455440e-01	6.9492421507e-02	-6.6966871744e-02	1.0207109642e+00	8.6972438180e-01	-7.2997868554e-02	-8.9487932052e-01	-9.2508370673e-01	
-3.0955901101e-02	1.0866000124e+00	9.6299703408e-01	-8.0754546184e-01	-1.2046732124e+00	-5.2978684033e-01	5.2336436920e-01	6.8294329121e-02	-3.9199636760e-02	1.0874986561e+00	9.2728824561e-01	-9.5057213378e-02	-9.6165541805e-01	-9.8716896267e-01	
-9.3103736349e-02	1.2068480234e+00	1.0206496761e+00	-8.3356622784e-01	-1.2688639548e+00	-6.1434414575e-01	5.8238036525e-01	5.0987204382e-02	-3.1245909214e-03	1.0443388000e+00	9.1125318587e-01	-8.0399660090e-02	-1.0262076129e+00	-8.9684732631e-01	
-2.5121328947e-03	1.1190470432e+00	9.0810857248e-01	-7.2425393512e-01	-1.2144430426e+00	-6.0203642389e-01	5.1608991876e-01	-5.2031920374e-02	-3.2561383831e-02	1.2297204457e+00	9.1053051344e-01	-4.6611886431e-02	-9.8365615096e-01	-1.0253896175e+00	
-4.8577998433e-02	1.0104517015e+00	9.9903985042e-01	-7.0648314515e-01	-1.1510738418e+00	-6.2563515649e-01	5.2227858996e-01	-3.4342396135e-03	4.8939205020e-02	1.1457785288e+00	9.7594353247e-01	-1.3218107120e-01	-1.0604955562e+00	-9.7455039919e-01	
-1.2652841715e-01	1.0305902070e+00	1.0460354137e+00	-6.2453182568e-01	-1.2388303786e+00	-6.1036236114e-01	5.2362736187e-01	-8.0296532800e-02	7.2478517376e-02	1.2181020359e+00	9.1199970120e-01	-9.1073272116e-02	-1.0722473821e+00	-9.5896306747e-01	
-6.3406267801e-02	1.0439302073e+00	1.0596107607e+00	-7.1349495971e-01	-1.1494008102e+00	-6.9948446472e-01	5.2224553455e-01	-4.8144141069e-02	2.3646012596e-02	1.3126357319e+00	8.8557262212e-01	-1.0960112246e-01	-1.0329261224e+00	-1.0311829808e+00	
-6.5531222733e-02	9.9928903296e-01	8.3315656773e-01	-6.4679597497e-01	-1.1701569132e+00	-5.4680388873e-01	5.9684239894e-01	1.5598845873e-02	-2.6211839806e-02	1.1278338408e+00	9.2754433509e-01	-5.1217738014e-02	-9.5021534182e-01	-1.0433321021e+00	
-7.7126525728e-02	1.0186494675e+00	8.3390239128e-01	-8.4766591515e-01	-1.1475268733e+00	-4.1869995316e-01	6.3846740861e-01	1.6641691128e-01	-1.0358060934e-01	9.9078621747e-01	1.0256617903e+00	-6.8078222135e-02	-8.7527150471e-01	-1.1359345829e+00	
-6.9507864731e-02	9.6932570295e-01	8.3350060558e-01	-8.9986633770e-01	-1.1971733974e+00	-3.1303672364e-01	6.7675801497e-01	2.7194138236e-01	-1.2768725313e-01	9.7340740774e-01	1.0600306832e+00	-6.6784250964e-02	-8.3340287945e-01	-1.2775050898e+00	
-1.3131223532e-01	8.5695764570e-01	7.3001217483e-01	-8.2794247745e-01	-1.1496042503e+00	-2.6087233977e-01	7.8276148233e-01	2.5304065577e-01	-1.8908493706e-01	9.5687186319e-01	1.1004313335e+00	1.4852382639e-02	-8.4326450795e-01	-1.2928467901e+00	
-1.2455642806e-01	7.8934070891e-01	8.3780765248e-01	-9.8681121567e-01	-1.1485236627e+00	-1.6482883828e-01	7.9757178328e-01	3.4461150564e-01	-2.3887949698e-01	8.8268051494e-01	1.0696897903e+00	2.3236359459e-02	-7.4535569026e-01	-1.3359829831e+00	
